Action_ID,Name_KO,Category,Subcategory,Effect_HP,Effect_Charm,Effect_Int,Effect_Art,Effect_Morality,Effect_Stress,Cost_Sweets,Income_Sweets,Required_Stat,Required_Value,Required_Age,Description,Is_Repeatable
# 수업 - 체력 단련 (효율성 2배 적용 - 추가 상향)
ACT_Lesson_HP_1,체력 단련 - 기본,Lesson,Physical,42,-5,0,0,0,10,200,0,None,0,0,몸을 단련하여 건강과 활력을 키웁니다.,TRUE
ACT_Lesson_HP_2,체력 단련 - 고급,Lesson,Physical,60,-8,0,0,0,15,350,0,HP,100,0,전문적인 체력 단련. 더 큰 효과와 부작용.,TRUE
# 수업 - 매력 수업 (효율성 2배 적용 - 추가 상향)
ACT_Lesson_Charm_1,매력 수업 - 기본,Lesson,Charm,0,24,0,0,0,8,300,0,None,0,0,외모와 태도를 가꾸어 매력을 높입니다.,TRUE
ACT_Lesson_Charm_2,매력 수업 - 고급,Lesson,Charm,0,42,0,0,0,12,500,0,Charm,100,0,고급 매력 수업. 더 큰 효과.,TRUE
# 수업 - 학업 공부 (효율성 2배 적용 - 추가 상향)
ACT_Lesson_Int_1,학업 공부 - 기본,Lesson,Study,-3,0,18,-5,0,12,250,0,None,0,0,머리를 써서 지식을 쌓습니다.,TRUE
ACT_Lesson_Int_2,학업 공부 - 고급,Lesson,Study,-5,0,32,-10,0,18,400,0,Int,100,0,심화 학습. 더 큰 효과와 부작용.,TRUE
# 수업 - 예술 수업 (효율성 2배 적용 - 추가 상향)
ACT_Lesson_Art_1,예술 수업 - 기본,Lesson,Art,0,0,0,36,0,10,350,0,None,0,0,감성을 키우는 예술 활동을 합니다.,TRUE
ACT_Lesson_Art_2,예술 수업 - 고급,Lesson,Art,0,0,-5,60,0,15,550,0,Art,100,0,전문 예술 수업. 더 큰 효과.,TRUE
# 수업 - 도덕 수업 (효율성 2배 적용 - 추가 상향)
ACT_Lesson_Moral_1,도덕 수업 - 기본,Lesson,Morality,0,0,0,0,24,5,200,0,None,0,0,마음을 다스리고 올바른 가치관을 배웁니다.,TRUE
ACT_Lesson_Moral_2,도덕 수업 - 고급,Lesson,Morality,0,0,0,0,42,8,350,0,Morality,100,0,심화 도덕 수업. 더 큰 효과와 스트레스.,TRUE
# 수업 - 종합 교육 (효율성 2배 적용 - 추가 상향)
ACT_Lesson_All,종합 교육,Lesson,General,15,15,15,15,15,15,500,0,None,0,0,균형 잡힌 교육으로 모든 능력을 고루 키웁니다. 비용은 비싸지만 부작용 없음.,TRUE
# 아르바이트 - 편의점
ACT_Job_1,편의점 알바,Job,Store,-8,0,8,0,8,5,0,300,None,0,0,계산과 정리를 하며 사회생활을 배웁니다.,TRUE
ACT_Job_2,카페 알바,Job,Cafe,0,25,0,12,0,10,0,350,Charm,150,0,커피와 디저트를 만들며 손님을 응대합니다. 루아에게 적합한 환경.,TRUE
ACT_Job_4,서점 알바,Job,Bookstore,-5,0,15,18,0,3,0,320,Int,150,0,책 정리와 고객 응대를 합니다. 낮은 스트레스.,TRUE
ACT_Job_5,공원 청소,Job,Volunteer,0,-5,0,0,35,3,0,180,Morality,50,0,봉사활동으로 공원을 청소합니다. 힘든 일이지만 보람있습니다.,TRUE
ACT_Job_6,베이커리 알바,Job,Bakery,0,12,0,45,0,7,0,400,Art,100,0,빵과 디저트를 만듭니다. 루아의 본체와 관련 있어 특별한 효과.,TRUE
ACT_Job_7,과외 알바,Job,Tutor,0,0,18,-15,12,15,0,500,Int,200,0,어린 아이들을 가르칩니다.,TRUE
ACT_Job_8,모델 알바,Job,Model,0,60,-10,0,-15,15,0,600,Charm,250,0,사진 촬영이나 패션쇼에 참여합니다.,TRUE
# 휴식 - 집에서 쉬기
ACT_Rest_1,집에서 쉬기,Rest,Home,6,0,0,0,0,-30,0,0,None,0,0,집에서 편하게 휴식을 취합니다. 가장 기본적인 휴식 방법.,TRUE
ACT_Rest_2,공원 산책,Rest,Park,0,3,0,0,0,-35,0,0,None,0,0,자연 속에서 산책하며 마음을 달랍니다.,TRUE
ACT_Rest_4,여행,Rest,Travel,18,6,0,0,0,-60,500,0,None,0,10,멀리 여행을 떠나 완전히 휴식을 취합니다.,TRUE
ACT_Rest_5,취미 활동,Rest,Hobby,0,0,0,6,0,-25,50,0,None,0,0,"그림 그리기, 악기 연주 등 자신만의 취미를 즐깁니다.",TRUE
ACT_Out_Aileen,아이린 만나기,Outing,NPC_Meet,0,4,0,0,0,0,100,0,None,0,0,이노의 소꿉친구 아이린과 만납니다.,TRUE
ACT_Out_Kyle,카일 만나기,Outing,NPC_Meet,0,0,0,0,6,0,0,0,None,0,0,"호위원 카일과 대화합니다. 무료, 드물게 발생 (10턴에 1회).",TRUE
ACT_Special_1,축제 참여,Special,Festival,0,12,0,0,0,-40,200,0,None,0,8,계절별 축제에 참여합니다. 모든 NPC와의 관계가 깊어질 수 있습니다.,TRUE
ACT_Special_2,여름 해변,Special,Beach,24,10,0,0,0,-35,400,0,None,0,8,여름 해변에서 휴가를 보냅니다.,TRUE
ACT_Special_3,단풍 놀이,Special,Autumn,0,0,0,15,0,-30,150,0,None,0,0,가을 단풍을 감상하며 감성을 자극합니다.,TRUE
ACT_Special_4,크리스마스 파티,Special,Christmas,0,0,0,0,0,-50,300,0,None,0,0,루아의 생일이자 크리스마스를 함께 축하합니다. 모든 NPC와의 관계가 깊어집니다.,FALSE
