Item_ID,Name_KO,Type,Category,Rarity,Price,Description,Effect_HP,Effect_Charm,Effect_Int,Effect_Art,Effect_Morality,Effect_Stress,Effect_Favor_Ino,Effect_Favor_Aileen,Effect_Favor_Kyle,Effect_Favor_Lian,Target_NPC,Icon_Path,Unlock_Condition,Max_Stack,Is_Sellable,Is_Consumable
# 이노 선물
ITEM_101,커피 원두,Gift,Gift_Food,2,120,신선한 원두 커피,0,0,0,0,0,0,10,0,0,0,Ino,Items/gift_coffee.png,Shop,99,TRUE,FALSE
ITEM_102,토피넛 시럽,Gift,Gift_Food,2,150,이노가 생각나는 선물,0,0,0,0,0,0,15,0,0,0,Ino,Items/gift_syrup.png,Shop,99,TRUE,FALSE
ITEM_103,머그컵,Gift,Gift_Lifestyle,1,80,새로운 머그컵,0,0,0,0,0,0,8,0,0,0,Ino,Items/gift_mug.png,Shop,99,TRUE,FALSE
ITEM_104,수제 쿠키,Gift,Gift_Food,2,100,정성껏 만든 쿠키,0,0,0,0,0,0,12,0,0,0,Ino,Items/gift_cookie.png,Shop,99,TRUE,FALSE
ITEM_105,특별 선물,Gift,Gift_Special,4,300,이노가 좋아하는 특별한 것,0,0,0,0,0,0,25,0,0,0,Ino,Items/gift_special_ino.png,Shop,10,TRUE,FALSE

# 아이린 선물
ITEM_111,핸드크림,Gift,Gift_Cosmetic,2,100,예쁘게 포장된 핸드크림,0,0,0,0,0,0,0,10,0,0,Aileen,Items/gift_handcream.png,Shop,99,TRUE,FALSE
ITEM_112,마카롱 세트,Gift,Gift_Food,2,180,아이린이 생각나는 선물,0,0,0,0,0,0,0,20,0,0,Aileen,Items/gift_macaron.png,Shop,99,TRUE,FALSE
ITEM_113,화장품,Gift,Gift_Cosmetic,3,250,고급 화장품,0,0,0,0,0,0,0,15,0,0,Aileen,Items/gift_cosmetics.png,Shop,50,TRUE,FALSE
ITEM_114,귀여운 스티커,Gift,Gift_Lifestyle,1,50,예쁜 스티커 모음,0,0,0,0,0,0,0,8,0,0,Aileen,Items/gift_stickers.png,Shop,99,TRUE,FALSE
ITEM_115,특별 선물,Gift,Gift_Special,4,300,아이린의 취향 저격 선물,0,0,0,0,0,0,0,25,0,0,Aileen,Items/gift_special_aileen.png,Shop,10,TRUE,FALSE

# 카일 선물
ITEM_121,차 세트,Gift,Gift_Lifestyle,2,150,고급 차 세트,0,0,0,0,0,0,0,0,10,0,Kyle,Items/gift_tea.png,Shop,99,TRUE,FALSE
ITEM_122,블랙 티,Gift,Gift_Food,2,200,카일이 생각나는 선물,0,0,0,0,0,0,0,0,20,0,Kyle,Items/gift_blacktea.png,Shop,99,TRUE,FALSE
ITEM_123,손수건,Gift,Gift_Lifestyle,1,100,깔끔한 손수건,0,0,0,0,0,0,0,0,8,0,Kyle,Items/gift_handkerchief.png,Shop,99,TRUE,FALSE
ITEM_124,노트,Gift,Gift_Lifestyle,1,80,정장 노트,0,0,0,0,0,0,0,0,8,0,Kyle,Items/gift_notebook.png,Shop,99,TRUE,FALSE
ITEM_125,특별 선물,Gift,Gift_Special,4,300,카일이 필요한 특별한 것,0,0,0,0,0,0,0,0,25,0,Kyle,Items/gift_special_kyle.png,Shop,10,TRUE,FALSE

# 리안 선물
ITEM_131,디저트,Gift,Gift_Food,2,80,맛있는 디저트,0,0,0,0,0,0,0,0,0,10,Lian,Items/gift_dessert.png,Shop,99,TRUE,FALSE
ITEM_132,레몬 스콘,Gift,Gift_Food,3,120,루아와 같은 레몬 스콘,0,0,0,0,0,0,0,0,0,20,Lian,Items/gift_lemonscone.png,Shop,50,TRUE,FALSE
ITEM_133,책,Gift,Gift_Lifestyle,2,150,디저트 세계의 책,0,0,0,0,0,0,0,0,0,15,Lian,Items/gift_book.png,Shop,99,TRUE,FALSE
ITEM_134,열쇠고리,Gift,Gift_Lifestyle,1,60,귀여운 열쇠고리,0,0,0,0,0,0,0,0,0,8,Lian,Items/gift_keychain.png,Shop,99,TRUE,FALSE
ITEM_135,특별 선물,Gift,Gift_Special,4,300,리안과의 관계를 깊게 하는 선물,0,0,0,0,0,0,0,0,0,25,Lian,Items/gift_special_lian.png,Shop,10,TRUE,FALSE
